10/18/24 7:00,Dana,9,,10/18/24 7:00,Roberts,12,,10/18/24 9:30,Foss,1,,10/18/24 8:00,JosephFamilySpa,14
10/18/24 7:15,Dana,13,,10/18/24 7:15,Roberts,7,,10/18/24 11:30,Foss,6,,10/18/24 8:15,JosephFamilySpa,18
10/18/24 7:30,Dana,15,,10/18/24 7:30,Roberts,23,,10/18/24 11:45,Foss,12,,10/18/24 8:30,JosephFamilySpa,29
10/18/24 7:45,Dana,16,,10/18/24 7:45,Roberts,11,,10/18/24 12:00,Foss,46,,10/18/24 8:45,JosephFamilySpa,69
10/18/24 8:00,Dana,21,,10/18/24 8:00,Roberts,18,,10/18/24 12:15,Foss,27,,10/18/24 9:00,JosephFamilySpa,29
10/18/24 8:15,Dana,36,,10/18/24 8:15,Roberts,40,,10/18/24 12:30,Foss,12,,10/18/24 9:15,JosephFamilySpa,27
10/18/24 8:30,Dana,62,,10/18/24 8:30,Roberts,56,,10/18/24 12:45,Foss,12,,10/18/24 9:30,JosephFamilySpa,47
10/18/24 8:45,Dana,34,,10/18/24 8:45,Roberts,27,,10/18/24 13:00,Foss,16,,10/18/24 9:45,JosephFamilySpa,103
10/18/24 9:00,Dana,21,,10/18/24 9:00,Roberts,24,,10/18/24 13:15,Foss,13,,10/18/24 10:00,JosephFamilySpa,54
10/18/24 9:15,Dana,39,,10/18/24 9:15,Roberts,18,,10/18/24 13:30,Foss,13,,10/18/24 10:15,JosephFamilySpa,27
10/18/24 9:30,Dana,34,,10/18/24 9:30,Roberts,26,,10/18/24 13:45,Foss,14,,10/18/24 10:30,JosephFamilySpa,37
10/18/24 9:45,Dana,49,,10/18/24 9:45,Roberts,36,,10/18/24 14:00,Foss,4,,10/18/24 10:45,JosephFamilySpa,9
10/18/24 11:00,Dana,69,,10/18/24 10:00,Roberts,13,,10/18/24 14:15,Foss,3,,10/18/24 11:00,JosephFamilySpa,76
10/18/24 11:15,Dana,14,,10/18/24 10:15,Roberts,8,,10/18/24 14:30,Foss,5,,10/18/24 11:15,JosephFamilySpa,30
10/18/24 11:30,Dana,20,,10/18/24 10:30,Roberts,8,,10/18/24 14:45,Foss,7,,10/18/24 11:30,JosephFamilySpa,38
10/18/24 11:45,Dana,56,,10/18/24 11:00,Roberts,75,,10/18/24 15:00,Foss,4,,10/18/24 11:45,JosephFamilySpa,70
10/18/24 12:00,Dana,71,,10/18/24 11:15,Roberts,20,,10/18/24 15:15,Foss,3,,10/18/24 12:00,JosephFamilySpa,62
10/18/24 12:15,Dana,42,,10/18/24 11:30,Roberts,19,,10/18/24 15:30,Foss,2,,10/18/24 12:15,JosephFamilySpa,35
10/18/24 12:30,Dana,22,,10/18/24 11:45,Roberts,87,,10/18/24 15:45,Foss,2,,10/18/24 12:30,JosephFamilySpa,31
10/18/24 12:45,Dana,44,,10/18/24 12:00,Roberts,67,,10/18/24 16:00,Foss,3,,10/18/24 12:45,JosephFamilySpa,66
10/18/24 13:00,Dana,38,,10/18/24 12:15,Roberts,35,,10/18/24 16:15,Foss,3,,10/18/24 13:00,JosephFamilySpa,46
10/18/24 13:15,Dana,24,,10/18/24 12:30,Roberts,26,,10/18/24 16:30,Foss,1,,10/18/24 13:15,JosephFamilySpa,37
10/18/24 13:30,Dana,19,,10/18/24 12:45,Roberts,71,,10/18/24 17:00,Foss,13,,10/18/24 13:30,JosephFamilySpa,26
10/18/24 13:45,Dana,21,,10/18/24 13:00,Roberts,37,,10/18/24 17:15,Foss,13,,10/18/24 13:45,JosephFamilySpa,51
10/18/24 17:00,Dana,43,,10/18/24 13:15,Roberts,23,,10/18/24 17:30,Foss,13,,10/18/24 14:00,JosephFamilySpa,39
10/18/24 17:15,Dana,28,,10/18/24 13:30,Roberts,23,,10/18/24 17:45,Foss,11,,10/18/24 14:15,JosephFamilySpa,37
10/18/24 17:30,Dana,39,,10/18/24 13:45,Roberts,25,,10/18/24 18:00,Foss,27,,10/18/24 14:30,JosephFamilySpa,34
