10/19/24 8:00,Dana,93,,10/19/24 11:00,Roberts,50,,10/19/24 17:00,Foss,19,,SPA CLOSED
10/19/24 8:15,Dana,29,,10/19/24 11:15,Roberts,32,,10/19/24 17:15,Foss,9,,
10/19/24 8:30,Dana,84,,10/19/24 11:30,Roberts,25,,10/19/24 17:30,Foss,17,,
10/19/24 8:45,Dana,31,,10/19/24 11:45,Roberts,21,,10/19/24 17:45,Foss,19,,
10/19/24 9:00,Dana,24,,10/19/24 12:00,Roberts,22,,10/19/24 18:00,Foss,8,,
10/19/24 9:15,Dana,23,,10/19/24 12:15,Roberts,22,,10/19/24 18:15,Foss,14,,
10/19/24 9:30,Dana,56,,10/19/24 12:30,Roberts,37,,10/19/24 18:30,Foss,13,,
10/19/24 9:45,Dana,45,,10/19/24 12:45,Roberts,47,,10/19/24 18:45,Foss,23,,
10/19/24 10:00,Dana,44,,10/19/24 13:00,Roberts,68,,10/19/24 19:00,Foss,21,,
10/19/24 10:15,Dana,29,,10/19/24 13:15,Roberts,49,,10/19/24 19:15,Foss,13,,
10/19/24 10:30,Dana,39,,10/19/24 13:30,Roberts,41,,10/19/24 19:30,Foss,13,,
10/19/24 10:45,Dana,43,,10/19/24 13:45,Roberts,28,,10/19/24 19:45,Foss,10,,
10/19/24 11:00,Dana,41,,10/19/24 17:00,Roberts,34,,10/19/24 20:00,Foss,9,,
10/19/24 11:15,Dana,27,,10/19/24 17:15,Roberts,45,,10/19/24 20:15,Foss,3,,
10/19/24 11:30,Dana,29,,10/19/24 17:30,Roberts,41,,10/19/24 20:30,Foss,13,,
10/19/24 11:45,Dana,24,,10/19/24 17:45,Roberts,46,,10/19/24 20:45,Foss,15,,
10/19/24 12:00,Dana,46,,10/19/24 18:00,Roberts,67,,10/19/24 21:30,Foss,0,,
10/19/24 12:15,Dana,23,,10/19/24 18:15,Roberts,26,,10/19/24 21:45,Foss,0,,
10/19/24 12:30,Dana,30,,10/19/24 18:30,Roberts,36,,10/19/24 22:15,Foss,0,,
10/19/24 12:45,Dana,46,,10/19/24 18:45,Roberts,43,,10/19/24 22:45,Foss,0,,
10/19/24 13:00,Dana,27,,10/19/24 19:00,Roberts,24,,10/19/24 23:00,Foss,0,,
10/19/24 13:15,Dana,27,,10/19/24 19:15,Roberts,24,,10/19/24 23:30,Foss,0,,
10/19/24 13:30,Dana,33,,10/19/24 19:30,Roberts,17,,Grand Total,,219,,
10/19/24 13:45,Dana,37,,10/19/24 19:45,Roberts,22,,,,,,
10/19/24 14:00,Dana,11,,Grand Total,,867,,,,,,
10/19/24 14:15,Dana,4,,,,,,,,,,
10/19/24 14:30,Dana,19,,,,,,,,,,
10/19/24 14:45,Dana,21,,,,,,,,,,
10/19/24 15:00,Dana,15,,,,,,,,,,
10/19/24 15:15,Dana,3,,,,,,,,,,
10/19/24 15:30,Dana,19,,,,,,,,,,
10/19/24 15:45,Dana,12,,,,,,,,,,
10/19/24 16:00,Dana,19,,,,,,,,,,
10/19/24 16:15,Dana,7,,,,,,,,,,
10/19/24 16:45,Dana,5,,,,,,,,,,
10/19/24 17:00,Dana,57,,,,,,,,,,
10/19/24 17:15,Dana,30,,,,,,,,,,
10/19/24 17:30,Dana,48,,,,,,,,,,
10/19/24 17:45,Dana,55,,,,,,,,,,
10/19/24 18:00,Dana,41,,,,,,,,,,
10/19/24 18:15,Dana,47,,,,,,,,,,
10/19/24 18:30,Dana,49,,,,,,,,,,
10/19/24 18:45,Dana,30,,,,,,,,,,
10/19/24 19:00,Dana,35,,,,,,,,,,
10/19/24 19:15,Dana,23,,,,,,,,,,
10/19/24 19:30,Dana,26,,,,,,,,,,
10/19/24 19:45,Dana,19,,,,,,,,,,
Grand Total,,1525,,,,,,,,,,
